Sample,Short_ID,Sample_ID,depth,Layer,Lat,Long,Min.distance_cage,DistCat,Group,Site,Habitat,T,pH,Sal,Chlorophyll,Turbidity,DO_perc,DO,Nox,PO4,SiO4,NO2,NH4
MH001P_S18,MH001P,T1,8.03,P,-42.185,145.322,4.52,5,Transec,C,MH,14.95,7.74,14.36,0.8,67.4,22,1.99,4.77,0.08,11,0.14,0.03
MH003P_S39,MH003P,T2,6.87,P,-42.205,145.327,3.35,3,Transec,C,MH,15.26,7.78,22.28,1,65.6,24.6,2.12,5.1,0.11,12.5,0.36,0.11
MH005P_S35,MH005P,T3,7.4,P,-42.227,145.333,2.05,2,Transec,C,MH,15.04,7.72,24.72,0.86,68.4,22.7,1.94,5.42,0.11,11.2,0.29,0.03
MH007P_S7,MH007P,T4,7.38,P,-42.246,145.335,1.07,1,Transec,C,MH,15.02,7.61,24.9,0.86,62,22.6,1.92,6.29,0.09,11.6,0.1,0.02
MH009P_S56,MH009P,T5,7.07,P,-42.266,145.348,0.94,1,Transec,B,MH,15.31,7.7,22.71,0.86,60.2,25.1,2.15,6.26,0.07,12.4,0.34,0.07
MH011P_S23,MH011P,T6,6.93,P,-42.284,145.365,0.93,1,Transec,B,MH,15.08,7.64,23.98,0.79,59.1,23.1,1.98,5.96,0.07,12.7,0.13,0.02
MH013P_S36,MH013P,T7,6.81,P,-42.302,145.378,0.53,1,Transec,B,MH,15.35,7.78,22.17,0.88,56.8,25.5,2.19,5.34,0.05,12.1,0.16,0.03
MH015P_S53,MH015P,T8,7.07,P,-42.317,145.401,1.04,1,Transec,B,MH,15.52,7.63,19.6,0.91,56.5,26.9,2.34,5.81,0.05,13.5,0.27,0.03
MH017P_S17,MH017P,T9,6.98,P,-42.331,145.417,0.86,1,Transec,B,MH,15.79,7.6,15.93,1.19,56.7,29.3,2.6,4.99,0.04,14.9,0.41,0.71
MH019P_S28,MH019P,T10,7.21,P,-42.348,145.435,1.65,2,Transec,A,MH,15.34,7.58,18.86,1.01,56,25.3,2.22,5.65,0.04,14.2,0.29,0.03
MH021P_S26,MH021P,T11,6.31,P,-42.365,145.454,3.06,3,Transec,A,MH,15.45,7.44,14.84,1.3,55.8,26.3,2.36,4.81,0.04,15.2,0.37,0.14
MH023P_S54,MH023P,T12,6.32,P,-42.381,145.469,4.35,5,Transec,A,MH,15.35,7.42,13.09,0,56.8,25.5,2.32,4.6,0.03,15.3,0.38,0.25
MH025P_S24,MH025P,T13,6.6,P,-42.399,145.482,5.6,5,Transec,A,MH,15.05,7.47,13.39,1.3,56.2,22.8,2.09,4.85,0.04,16.6,0.38,0.1
MH026S_S37,MH026S,ocean_1,0,S,-42.194,145.203,7.84,10,ocean,ocean,ocean,15.09,,28.17,12.45,,,,3.68,0.27,6.7,0.45,0.18
MH027S_S22,MH027S,ocean_2,0,S,-42.186,145.209,7.88,10,ocean,ocean,ocean,14.89,,30.88,11.58,,,,3.74,0.32,4.4,0.46,0.15
MH028S_S13,MH028S,ocean_3,0,S,-42.195,145.211,7.45,10,ocean,ocean,ocean,15.11,,30.55,13.69,,,,3.67,0.3,5,0.44,0.14
MH028SC_S57,MH028S-C,ocean_3a,0,S,-42.195,145.211,7.45,10,ocean,ocean,ocean,15.1064,,30.5457,13.692,,,,3.67,0.3,5,0.443,0.14
MH030S_S52,MH030S,D1,0,S,-42.227,145.227,5.56,5,D,C,MH,16.67,,12.13,21.97,,,,3.06,0.06,16.4,0.36,0.53
MH031S_S51,MH031S,D2,0,S,-42.243,145.252,3.75,5,D,C,MH,17.72,,7.64,25.71,,,,2.83,0.06,17,0.35,0.38
MH034P_S33,MH034P,D3_P,6.1,P,-42.237,145.314,1.52,2,D_P,C,MH,15.6,7.84,22.66,0.88,55.1,27.6,2.36,4.63,0.15,12,0.39,0.28
MH034S_S20,MH034S,D3,0,S,-42.237,145.314,1.52,2,D,C,MH,18.78, ,6.81,24.84, , , ,2.48,0.08,16.4,0.35,0.22
MH035P_S1,MH035P,D4_P,6.65,P,-42.236,145.33,1.53,2,D_P,C,MH,15.81,7.84,23.33,0.85,57.4,29.4,2.49,4.76,0.12,12.1,0.29,0.14
MH035S_S11,MH035S,D4,0,S,-42.236,145.33,1.53,2,D,C,MH,18.73, ,5.35,24.82, , , ,2.4,0.08,15.6,0.35,0.14
MH036P_S42,MH036P,D5_P,5.29,P,-42.237,145.343,1.83,2,D_P,C,MH,15.66,7.69,23.06,0.88,55.1,28.1,2.39,5.12,0.11,11.9,0.31,0.08
MH036S_S55,MH036S,D5,0,S,-42.237,145.343,1.83,2,D,C,MH,19.75, ,5.05,21.81, , , ,2.23,0.07,15.7,0.34,0.08
MH038P_S15,MH038P,C1_P,4.46,P,-42.259,145.354,1.45,1,C_P,B,MH,15.64,7.67,22.74,0.88,54.6,28,2.38,5.1,0.09,12.4,0.2,0.04
MH038S_S4,MH038S,C1,0,S,-42.259,145.354,1.45,1,C,B,MH,18.97, ,5.13,25.02, , , ,2.3,0.07,15.2,0.31,0.1
MH039P_S48,MH039P,C2_P,6.09,P,-42.265,145.342,0.73,1,C_P,B,MH,15.23,7.59,23.19,0.87,54.7,24.4,2.09,5.97,0.08,12.9,0.27,0.37
MH039S_S9,MH039S,C2,0,S,-42.265,145.342,0.73,1,C,B,MH,19.78, ,5.04,23.77, , , ,2.19,0.08,14.9,0.34,0.08
MH040P_S63,MH040P,C3_P,6.24,P,-42.27,145.332,0.49,1,C_P,B,MH,15.2,7.65,22.7,0.89,54.5,24.1,2.08,5.99,0.06,13.2,0.16,0.02
MH040S_S27,MH040S,C3,0,S,-42.27,145.332,0.49,1,C,B,MH,19.1, ,6.64,21.9, , , ,2.67,0.05,16.2,0.32,0.3
MH041S_S38,MH041S,C4,0,S,-42.276,145.321,0.93,1,C,B,MH,18.8, ,7.25,23.34, , , ,2.74,0.05,16.2,0.35,0.57
MH041P_S6,MH041P,C4_P,5.15,P,-42.276,145.321,0.93,1,C_P,B,MH,15.15,7.61,22.57,0.89,54.4,23.7,2.04,6.1,0.06,13.4,0.18,0.02
MH047P_S31,MH047P,B4_P,11.8,P,-42.319,145.363,0.89,1,B_P,B,MH,14.94,7.5,28.07,0,95.5,21.9,1.84,6.95,0.16,12,0.08,0.04
MH047S_S46,MH047S,B4,0,S,-42.319,145.363,0.89,1,B,B,MH,17.3667, ,7.362,25.508, , , ,3.18,0.05,16.6,0.361,0.52
MH048P_S2,MH048P,B3_P,6.16,P,-42.309,145.376,0.53,1,B_P,B,MH,15.09,7.66,23.08,0,95.5,23.2,2,5.82,0.05,12.4,0.17,0.05
MH048S_S44,MH048S,B3,0,S,-42.309,145.376,0.53,1,B,B,MH,17.94, ,7.13,25.49, , , ,2.9,0.07,16.2,0.37,0.77
MH049P_S41,MH049P,B2_P,5.78,P,-42.302,145.387,0.83,1,B_P,B,MH,15.21,7.67,21.8,0,95.5,24.3,2.1,5.84,0.04,13.7,0.21,0.02
MH049S_S50,MH049S,B2,0,S,-42.302,145.387,0.83,1,B,B,MH,18.07, ,7.07,26.75, , , ,2.83,0.08,16,0.37,0.22
MH050P_S45,MH050P,B1_P,6.15,P,-42.294,145.396,1.47,1,B_P,B,MH,15.18,7.64,21.69,0,95.5,23.9,2.07,5.97,0.04,13.5,0.18,0.03
MH050S_S32,MH050S,B1,0,S,-42.294,145.396,1.48,1,B,B,MH,18.38, ,6.82,26.88, , , ,2.66,0.07,15.9,0.37,0.18
MH056P_S60,MH056P,A1_P,5.19,P,-42.341,145.449,2.45,2,A_P,A,MH,16.12,7.58,11.05,1.19,95.5,32.2,2.92,4.99,0.04,17.9,0.34,0.26
MH056S_S29,MH056S,A1,0,S,-42.341,145.449,2.45,2,A,A,MH,18.2, ,7.43,27.03, , , ,2.84,0.07,16.6,0.37,0.3
MH057P_S47,MH057P,A3_P,5.9,P,-42.349,145.444,2.22,2,A_P,A,MH,15.07,7.66,22.34,0,95.5,23.1,1.99,5.98,0.04,14,0.18,0.04
MH057S_S8,MH057S,A3,0,S,-42.349,145.444,2.22,2,A,A,MH,17.75, ,7.32,25.72, , , ,3.02,0.05,16.5,0.39,0.52
MH058P_S21,MH058P,A4_P,5.6,P,-42.363,145.427,1.68,2,A_P,A,MH,14.97,7.54,22.91,0,95.5,22.2,1.92,6.15,0.03,14,0.13,0.03
MH058S_S34,MH058S,A4,0,S,-42.363,145.427,1.68,2,A,A,MH,17.38, ,6.44,27.18, , , ,3.11,0.07,16.3,0.4,0.73
MH059S_S49,MH059S,GR_1,0,S,-42.423,145.498,7.24,10,GR,GR,GR,12.58, ,0.46,26.46, , , ,3.93,0.06,3.5,0.44,0.85
MH060S_S16,MH060S,GR_2,0,S,-42.435,145.51,8.24,10,GR,GR,GR,12.3, ,0.22,26.92, , , ,3.94,0.06,2,0.42,0.84
MH061S_S59,MH061S,GR_3,0,S,-42.448,145.532,9.8,10,GR,GR,GR,12.67, ,0.17,26.8, , , ,3.96,0.06,1.9,0.37,0.84
MH063S_S10,MH063S,GR_4,0,S,-42.436,145.615,13.63,10,GR,GR,GR,11.71, ,0.03,26.91, , , ,3.99,0.05,1.2,0.31,0.87
MH063SR_S62,MH063S-R,GR_4a,0,S,-42.436,145.615,13.63,10,GR,GR,GR,11.71, ,0.03,26.91, , , ,3.99,0.05,1.2,0.31,0.87
